"anon","ruletype","sequence","rule","rt_in_seconds","answer","response","accuracy"
"001","sumtwo","5, 18, 23, 41, 64, 105, ","Sum the last two numbers",46.557,"169","169",TRUE
"001","sumtwo","8, 11, 19, 30, 49, 79, ","Sum the last two numbers",12.205,"128","87",FALSE
"001","sumtwo","8, 18, 26, 44, 70, 114, ","Sum the last two numbers",8.788,"184","184",TRUE
"001","sumtwo","1, 4, 5, 9, 14, 23, ","Sum the last two numbers",7.763,"37","37",TRUE
"001","xkc","2, 10, 18, 26, 34, 42, ","Add 8 to each number",14.208,"50","50",TRUE
"001","sumtwo","10, 12, 22, 34, 56, 90, ","Sum the last two numbers",21.405,"146","136",FALSE
"001","xkc","6, 16, 26, 36, 46, 56, ","Add 10 to each number",4.788,"66","66",TRUE
"001","sumtwo","5, 10, 15, 25, 40, 65, ","Sum the last two numbers",8.703,"105","105",TRUE
"001","sumtwo","2, 19, 21, 40, 61, 101, ","Sum the last two numbers",16.971,"162","122",FALSE
"001","sumtwo","1, 16, 17, 33, 50, 83, ","Sum the last two numbers",7.553,"133","133",TRUE
"001","sumtwo","5, 11, 16, 27, 43, 70, ","Sum the last two numbers",10.171,"113","113",TRUE
"001","sumtwo","6, 8, 14, 22, 36, 58, ","Sum the last two numbers",13.512,"94","94",TRUE
"001","sumtwo","4, 15, 19, 34, 53, 87, ","Sum the last two numbers",11.241,"140","140",TRUE
"001","sumtwo","12, 19, 31, 50, 81, 131, ","Sum the last two numbers",9.936,"212","211",FALSE
"001","xkc","9, 14, 19, 24, 29, 34, ","Add 5 to each number",6.814,"39","39",TRUE
"001","sumtwo","7, 20, 27, 47, 74, 121, ","Sum the last two numbers",18.994,"195","195",TRUE
"001","sumtwo","10, 12, 22, 34, 56, 90, ","Sum the last two numbers",10.081,"146","146",TRUE
"001","sumtwo","12, 14, 26, 40, 66, 106, ","Sum the last two numbers",8.737,"172","172",TRUE
"001","sumtwo","9, 15, 24, 39, 63, 102, ","Sum the last two numbers",11.75,"165","165",TRUE
"001","sumtwo","10, 16, 26, 42, 68, 110, ","Sum the last two numbers",11.984,"178","178",TRUE
"001","sumtwo","4, 16, 20, 36, 56, 92, ","Sum the last two numbers",8.907,"148","148",TRUE
"001","sumtwo","2, 12, 14, 26, 40, 66, ","Sum the last two numbers",5.294,"106","106",TRUE
"001","sumtwo","9, 19, 28, 47, 75, 122, ","Sum the last two numbers",6.25,"197","197",TRUE
"001","sumtwo","2, 18, 20, 38, 58, 96, ","Sum the last two numbers",9.498,"154","154",TRUE
"001","sumtwo","7, 18, 25, 43, 68, 111, ","Sum the last two numbers",8.009,"179","179",TRUE
"001","xkc","6, 12, 18, 24, 30, 36, ","Add 6 to each number",6.122,"42","42",TRUE
"001","sumtwo","7, 15, 22, 37, 59, 96, ","Sum the last two numbers",18.489,"155","155",TRUE
"001","sumtwo","7, 11, 18, 29, 47, 76, ","Sum the last two numbers",20.709,"123","123",TRUE
"001","sumtwo","11, 19, 30, 49, 79, 128, ","Sum the last two numbers",14.652,"207","207",TRUE
"001","sumtwo","5, 19, 24, 43, 67, 110, ","Sum the last two numbers",4.604,"177","177",TRUE
"001","sumtwo","3, 4, 7, 11, 18, 29, ","Sum the last two numbers",11.7,"47","47",TRUE
"001","xkc","1, 6, 11, 16, 21, 26, ","Add 5 to each number",6.842,"31","47",FALSE
"001","sumtwo","1, 1, 2, 3, 5, 8, ","Sum the last two numbers",7.479,"13","13",TRUE
"001","sumtwo","2, 3, 5, 8, 13, 21, ","Sum the last two numbers",11.429,"34","34",TRUE
"001","sumtwo","3, 7, 10, 17, 27, 44, ","Sum the last two numbers",9.197,"71","71",TRUE
"001","sumtwo","2, 8, 10, 18, 28, 46, ","Sum the last two numbers",6.824,"74","74",TRUE
"001","sumtwo","7, 11, 18, 29, 47, 76, ","Sum the last two numbers",15.7,"123","123",TRUE
"001","sumtwo","2, 15, 17, 32, 49, 81, ","Sum the last two numbers",9.556,"130","130",TRUE
"001","sumtwo","14, 19, 33, 52, 85, 137, ","Sum the last two numbers",13.716,"222","222",TRUE
"001","sumtwo","5, 16, 21, 37, 58, 95, ","Sum the last two numbers",11.122,"153","153",TRUE
"001","sumtwo","1, 20, 21, 41, 62, 103, ","Sum the last two numbers",5.258,"165","165",TRUE
"001","xkc","6, 12, 18, 24, 30, 36, ","Add 6 to each number",3.802,"42","66",FALSE
"001","sumtwo","1, 11, 12, 23, 35, 58, ","Sum the last two numbers",12.455,"93","93",TRUE
"001","sumtwo","18, 20, 38, 58, 96, 154, ","Sum the last two numbers",13.259,"250","250",TRUE
"001","sumtwo","6, 19, 25, 44, 69, 113, ","Sum the last two numbers",12.395,"182","182",TRUE
"001","sumtwo","1, 15, 16, 31, 47, 78, ","Sum the last two numbers",11.901,"125","125",TRUE
"001","sumtwo","5, 11, 16, 27, 43, 70, ","Sum the last two numbers",5.888,"113","113",TRUE
"001","sumtwo","4, 17, 21, 38, 59, 97, ","Sum the last two numbers",13.271,"156","156",TRUE
"001","sumtwo","2, 20, 22, 42, 64, 106, ","Sum the last two numbers",5.629,"170","170",TRUE
"001","sumtwo","1, 9, 10, 19, 29, 48, ","Sum the last two numbers",6.272,"77","77",TRUE
"002","xkc","8, 16, 24, 32, 40, 48, ","Add 8 to each number",13.535,"56","56",TRUE
"002","sumtwo","1, 11, 12, 23, 35, 58, ","Sum the last two numbers",100.063,"93","93",TRUE
"002","xkc","5, 6, 7, 8, 9, 10, ","Add 1 to each number",4.916,"11","11",TRUE
"002","xkc","5, 12, 19, 26, 33, 40, ","Add 7 to each number",10.916,"47","47",TRUE
"002","xkc","1, 10, 19, 28, 37, 46, ","Add 9 to each number",7.669,"55","55",TRUE
"002","xkc","3, 8, 13, 18, 23, 28, ","Add 5 to each number",25.333,"33","33",TRUE
"002","xkc","2, 4, 6, 8, 10, 12, ","Add 2 to each number",3.882,"14","14",TRUE
"002","xkc","1, 8, 15, 22, 29, 36, ","Add 7 to each number",10.049,"43","43",TRUE
"002","xkc","2, 5, 8, 11, 14, 17, ","Add 3 to each number",7.92,"20","20",TRUE
"002","xkc","9, 18, 27, 36, 45, 54, ","Add 9 to each number",8.459,"63","63",TRUE
"002","xkc","3, 7, 11, 15, 19, 23, ","Add 4 to each number",7.204,"27","27",TRUE
"002","xkc","2, 7, 12, 17, 22, 27, ","Add 5 to each number",10.235,"32","32",TRUE
"002","xkc","6, 10, 14, 18, 22, 26, ","Add 4 to each number",6.728,"30","30",TRUE
"002","sumtwo","7, 10, 17, 27, 44, 71, ","Sum the last two numbers",31.266,"115","81",FALSE
"002","xkc","7, 13, 19, 25, 31, 37, ","Add 6 to each number",18.085,"43","43",TRUE
"002","xkc","4, 14, 24, 34, 44, 54, ","Add 10 to each number",6.668,"64","64",TRUE
"002","xkc","3, 13, 23, 33, 43, 53, ","Add 10 to each number",5.702,"63","63",TRUE
"002","xkc","2, 12, 22, 32, 42, 52, ","Add 10 to each number",5.48,"62","62",TRUE
"002","xkc","8, 16, 24, 32, 40, 48, ","Add 8 to each number",6.636,"56","56",TRUE
"002","xkc","3, 5, 7, 9, 11, 13, ","Add 2 to each number",7.302,"15","15",TRUE
"002","xkc","4, 5, 6, 7, 8, 9, ","Add 1 to each number",3.148,"10","10",TRUE
"002","xkc","3, 8, 18, 38, 78, 158, ","Multiply by 2 and add 2",78.266,"318","318",TRUE
"002","xkc","10, 20, 30, 40, 50, 60, ","Add 10 to each number",4.261,"70","70",TRUE
"002","xkc","10, 12, 14, 16, 18, 20, ","Add 2 to each number",3.151,"22","22",TRUE
"002","xkc","6, 13, 20, 27, 34, 41, ","Add 7 to each number",7.383,"48","48",TRUE
"002","xkc","2, 7, 12, 17, 22, 27, ","Add 5 to each number",8.966,"32","32",TRUE
"002","xkc","10, 15, 20, 25, 30, 35, ","Add 5 to each number",3.583,"40","40",TRUE
"002","xkc","6, 10, 14, 18, 22, 26, ","Add 4 to each number",4.45,"30","30",TRUE
"002","xkc","10, 13, 16, 19, 22, 25, ","Add 3 to each number",5.667,"28","28",TRUE
"002","xkc","10, 13, 16, 19, 22, 25, ","Add 3 to each number",9.2,"28","28",TRUE
"002","xkc","3, 9, 15, 21, 27, 33, ","Add 6 to each number",37.015,"39","39",TRUE
"002","xkc","2, 11, 20, 29, 38, 47, ","Add 9 to each number",7.699,"56","56",TRUE
"002","xkc","6, 14, 22, 30, 38, 46, ","Add 8 to each number",8.999,"54","54",TRUE
"002","sumtwo","1, 1, 2, 3, 5, 8, ","Sum the last two numbers",4.067,"13","13",TRUE
"002","xkc","7, 11, 15, 19, 23, 27, ","Add 4 to each number",8.204,"31","31",TRUE
"002","xkc","4, 13, 22, 31, 40, 49, ","Add 9 to each number",58.777,"58","58",TRUE
"002","xkc","2, 6, 10, 14, 18, 22, ","Add 4 to each number",6.733,"26","26",TRUE
"002","xkc","4, 11, 18, 25, 32, 39, ","Add 7 to each number",16.631,"46","46",TRUE
"002","xkc","5, 12, 19, 26, 33, 40, ","Add 7 to each number",5.153,"47","47",TRUE
"002","xkc","8, 11, 14, 17, 20, 23, ","Add 3 to each number",5.251,"26","26",TRUE
"002","xkc","7, 13, 19, 25, 31, 37, ","Add 6 to each number",8.432,"43","43",TRUE
"002","xkc","7, 13, 19, 25, 31, 37, ","Add 6 to each number",2.683,"43","43",TRUE
"002","xkc","10, 11, 12, 13, 14, 15, ","Add 1 to each number",3.929,"16","16",TRUE
"002","sumtwo","7, 15, 22, 37, 59, 96, ","Sum the last two numbers",79.438,"155","155",TRUE
"002","xkc","8, 13, 18, 23, 28, 33, ","Add 5 to each number",5.619,"38","38",TRUE
"002","sumtwo","3, 5, 8, 13, 21, 34, ","Sum the last two numbers",8.257,"55","55",TRUE
"002","xkc","2, 6, 14, 30, 62, 126, ","Multiply by 2 and add 2",45.164,"254","254",TRUE
"002","xkc","8, 12, 16, 20, 24, 28, ","Add 4 to each number",5.749,"32","32",TRUE
"002","sumtwo","11, 14, 25, 39, 64, 103, ","Sum the last two numbers",18.235,"167","167",TRUE
"002","xkc","3, 4, 5, 6, 7, 8, ","Add 1 to each number",3.591,"9","9",TRUE
"003","xkc","4, 5, 6, 7, 8, 9, ","Add 1 to each number",10.943,"10","10",TRUE
"003","xkc","6, 15, 24, 33, 42, 51, ","Add 9 to each number",13.1,"60","60",TRUE
"003","xkc","10, 14, 18, 22, 26, 30, ","Add 4 to each number",7.259,"34","34",TRUE
"003","xkc","7, 16, 25, 34, 43, 52, ","Add 9 to each number",9.256,"61","61",TRUE
"003","xkc","5, 10, 15, 20, 25, 30, ","Add 5 to each number",5.163,"35","35",TRUE
"003","xkc","5, 9, 13, 17, 21, 25, ","Add 4 to each number",11.414,"29","29",TRUE
"003","xkc","6, 13, 20, 27, 34, 41, ","Add 7 to each number",6.31,"48","48",TRUE
"003","xkc","8, 16, 24, 32, 40, 48, ","Add 8 to each number",6.357,"56","56",TRUE
"003","xkc","4, 6, 8, 10, 12, 14, ","Add 2 to each number",5.775,"16","16",TRUE
"003","xkc","7, 10, 13, 16, 19, 22, ","Add 3 to each number",5.966,"25","25",TRUE
"003","xkc","3, 12, 21, 30, 39, 48, ","Add 9 to each number",12.327,"57","57",TRUE
"003","xkc","5, 8, 11, 14, 17, 20, ","Add 3 to each number",5.02,"23","23",TRUE
"003","xkc","9, 10, 11, 12, 13, 14, ","Add 1 to each number",5.614,"15","15",TRUE
"003","xkc","2, 4, 6, 8, 10, 12, ","Add 2 to each number",4.108,"14","14",TRUE
"003","xkc","6, 15, 24, 33, 42, 51, ","Add 9 to each number",24.345,"60","60",TRUE
"003","xkc","3, 7, 11, 15, 19, 23, ","Add 4 to each number",5.716,"27","27",TRUE
"003","xkc","2, 10, 18, 26, 34, 42, ","Add 8 to each number",6.064,"50","50",TRUE
"003","xkc","1, 2, 3, 4, 5, 6, ","Add 1 to each number",3.855,"7","7",TRUE
"003","sumtwo","3, 19, 22, 41, 63, 104, ","Sum the last two numbers",62.316,"167","167",TRUE
"003","xkc","10, 17, 24, 31, 38, 45, ","Add 7 to each number",10.152,"52","52",TRUE
"003","sumtwo","10, 20, 30, 50, 80, 130, ","Sum the last two numbers",9.861,"210","210",TRUE
"003","xkc","2, 9, 16, 23, 30, 37, ","Add 7 to each number",15.214,"44","44",TRUE
"003","xkc","3, 10, 17, 24, 31, 38, ","Add 7 to each number",6.821,"45","45",TRUE
"003","sumtwo","8, 15, 23, 38, 61, 99, ","Sum the last two numbers",28.471,"160","160",TRUE
"003","sumtwo","7, 13, 20, 33, 53, 86, ","Sum the last two numbers",22.501,"139","139",TRUE
"003","xkc","9, 16, 23, 30, 37, 44, ","Add 7 to each number",9.343,"51","51",TRUE
"003","xkc","5, 15, 25, 35, 45, 55, ","Add 10 to each number",4.445,"65","65",TRUE
"003","xkc","2, 10, 18, 26, 34, 42, ","Add 8 to each number",6.614,"50","50",TRUE
"003","xkc","2, 3, 4, 5, 6, 7, ","Add 1 to each number",3.422,"8","8",TRUE
"003","sumtwo","3, 10, 13, 23, 36, 59, ","Sum the last two numbers",15.99,"95","95",TRUE
"003","xkc","8, 18, 28, 38, 48, 58, ","Add 10 to each number",3.942,"68","68",TRUE
"003","xkc","5, 14, 23, 32, 41, 50, ","Add 9 to each number",11.358,"59","59",TRUE
"003","xkc","1, 3, 5, 7, 9, 11, ","Add 2 to each number",7.174,"13","13",TRUE
"003","xkc","1, 10, 19, 28, 37, 46, ","Add 9 to each number",7.775,"55","55",TRUE
"003","xkc","4, 14, 24, 34, 44, 54, ","Add 10 to each number",5.302,"64","64",TRUE
"003","xkc","5, 13, 21, 29, 37, 45, ","Add 8 to each number",15.47,"53","53",TRUE
"003","xkc","9, 12, 15, 18, 21, 24, ","Add 3 to each number",3.917,"27","27",TRUE
"003","xkc","9, 15, 21, 27, 33, 39, ","Add 6 to each number",5.055,"45","45",TRUE
"003","xkc","2, 12, 22, 32, 42, 52, ","Add 10 to each number",4.468,"62","62",TRUE
"003","xkc","1, 7, 13, 19, 25, 31, ","Add 6 to each number",6.635,"37","37",TRUE
"003","xkc","2, 10, 18, 26, 34, 42, ","Add 8 to each number",4.638,"50","50",TRUE
"003","xkc","4, 6, 8, 10, 12, 14, ","Add 2 to each number",3.933,"16","16",TRUE
"003","xkc","7, 10, 13, 16, 19, 22, ","Add 3 to each number",4.303,"25","25",TRUE
"003","xkc","10, 12, 14, 16, 18, 20, ","Add 2 to each number",4.935,"22","22",TRUE
"003","xkc","5, 8, 11, 14, 17, 20, ","Add 3 to each number",3.695,"23","23",TRUE
"003","xkc","4, 11, 18, 25, 32, 39, ","Add 7 to each number",7.628,"46","46",TRUE
"003","xkc","4, 12, 20, 28, 36, 44, ","Add 8 to each number",6.663,"52","52",TRUE
"003","xkc","5, 12, 19, 26, 33, 40, ","Add 7 to each number",4.558,"47","47",TRUE
"003","xkc","8, 13, 18, 23, 28, 33, ","Add 5 to each number",7.11,"38","38",TRUE
"003","sumtwo","5, 14, 19, 33, 52, 85, ","Sum the last two numbers",9.657,"137","94",FALSE
"004","sumtwo","11, 11, 22, 33, 55, 88, ","Sum the last two numbers",109.454,"143","222",FALSE
"004","sumtwo","7, 16, 23, 39, 62, 101, ","Sum the last two numbers",327.168,"163","202",FALSE
"004","sumtwo","6, 11, 17, 28, 45, 73, ","Sum the last two numbers",39.433,"118","45",FALSE
"004","sumtwo","8, 8, 16, 24, 40, 64, ","Sum the last two numbers",23.315,"104","104",TRUE
"004","sumtwo","2, 13, 15, 28, 43, 71, ","Sum the last two numbers",29.442,"114","114",TRUE
"004","sumtwo","15, 16, 31, 47, 78, 125, ","Sum the last two numbers",54.038,"203","203",TRUE
"004","sumtwo","1, 20, 21, 41, 62, 103, ","Sum the last two numbers",13.409,"165","165",TRUE
"004","sumtwo","8, 10, 18, 28, 46, 74, ","Sum the last two numbers",11.762,"120","120",TRUE
"004","sumtwo","2, 9, 11, 20, 31, 51, ","Sum the last two numbers",9.446,"82","82",TRUE
"004","xkc","8, 14, 20, 26, 32, 38, ","Add 6 to each number",27.656,"44","70",FALSE
"004","sumtwo","10, 10, 20, 30, 50, 80, ","Sum the last two numbers",37.819,"130","130",TRUE
"004","sumtwo","12, 15, 27, 42, 69, 111, ","Sum the last two numbers",22.035,"180","170",FALSE
"004","sumtwo","10, 10, 20, 30, 50, 80, ","Sum the last two numbers",20.994,"130","130",TRUE
"004","sumtwo","1, 2, 3, 5, 8, 13, ","Sum the last two numbers",44.241,"21","21",TRUE
"004","sumtwo","6, 12, 18, 30, 48, 78, ","Sum the last two numbers",26.37,"126","126",TRUE
"004","sumtwo","1, 8, 9, 17, 26, 43, ","Sum the last two numbers",21.234,"69","69",TRUE
"004","sumtwo","9, 16, 25, 41, 66, 107, ","Sum the last two numbers",49.831,"173","173",TRUE
"004","sumtwo","4, 19, 23, 42, 65, 107, ","Sum the last two numbers",30.248,"172","172",TRUE
"004","xkc","7, 16, 25, 34, 43, 52, ","Add 9 to each number",65.71,"61","61",TRUE
"004","sumtwo","6, 20, 26, 46, 72, 118, ","Sum the last two numbers",41.969,"190","190",TRUE
"004","sumtwo","12, 15, 27, 42, 69, 111, ","Sum the last two numbers",37.46,"180","160",FALSE
"004","sumtwo","3, 16, 19, 35, 54, 89, ","Sum the last two numbers",22.104,"143","143",TRUE
"004","sumtwo","9, 14, 23, 37, 60, 97, ","Sum the last two numbers",18.793,"157","157",TRUE
"004","sumtwo","2, 7, 9, 16, 25, 41, ","Sum the last two numbers",22.986,"66","66",TRUE
"004","sumtwo","3, 17, 20, 37, 57, 94, ","Sum the last two numbers",19.835,"151","151",TRUE
"004","sumtwo","3, 15, 18, 33, 51, 84, ","Sum the last two numbers",14.646,"135","135",TRUE
"004","sumtwo","9, 20, 29, 49, 78, 127, ","Sum the last two numbers",24.928,"205","205",TRUE
"004","sumtwo","10, 17, 27, 44, 71, 115, ","Sum the last two numbers",59.118,"186","186",TRUE
"004","xkc","6, 16, 26, 36, 46, 56, ","Add 10 to each number",22.347,"66","102",FALSE
"004","sumtwo","13, 18, 31, 49, 80, 129, ","Sum the last two numbers",54.621,"209","209",TRUE
"004","sumtwo","8, 15, 23, 38, 61, 99, ","Sum the last two numbers",164.672,"160","160",TRUE
"004","sumtwo","16, 17, 33, 50, 83, 133, ","Sum the last two numbers",31.341,"216","116",FALSE
"004","sumtwo","1, 5, 6, 11, 17, 28, ","Sum the last two numbers",17.642,"45","45",TRUE
"004","sumtwo","15, 19, 34, 53, 87, 140, ","Sum the last two numbers",47.201,"227","227",TRUE
"004","sumtwo","3, 16, 19, 35, 54, 89, ","Sum the last two numbers",43.067,"143","143",TRUE
"004","sumtwo","6, 12, 18, 30, 48, 78, ","Sum the last two numbers",58.719,"126","126",TRUE
"004","sumtwo","11, 18, 29, 47, 76, 123, ","Sum the last two numbers",35.994,"199","199",TRUE
"004","sumtwo","2, 18, 20, 38, 58, 96, ","Sum the last two numbers",19.086,"154","154",TRUE
"004","xkc","4, 6, 8, 10, 12, 14, ","Add 2 to each number",18.56,"16","16",TRUE
"004","sumtwo","13, 19, 32, 51, 83, 134, ","Sum the last two numbers",57.57,"217","214",FALSE
"004","sumtwo","1, 18, 19, 37, 56, 93, ","Sum the last two numbers",17.419,"149","149",TRUE
"004","sumtwo","12, 18, 30, 48, 78, 126, ","Sum the last two numbers",27.407,"204","204",TRUE
"004","sumtwo","16, 19, 35, 54, 89, 143, ","Sum the last two numbers",41.198,"232","232",TRUE
"004","sumtwo","7, 17, 24, 41, 65, 106, ","Sum the last two numbers",34.01,"171","171",TRUE
"004","sumtwo","11, 20, 31, 51, 82, 133, ","Sum the last two numbers",27.76,"215","215",TRUE
"004","sumtwo","11, 14, 25, 39, 64, 103, ","Sum the last two numbers",13.688,"167","167",TRUE
"004","xkc","4, 10, 16, 22, 28, 34, ","Add 6 to each number",38.41,"40","40",TRUE
"004","xkc","10, 17, 24, 31, 38, 45, ","Add 7 to each number",25.727,"52","52",TRUE
"004","sumtwo","7, 9, 16, 25, 41, 66, ","Sum the last two numbers",56.326,"107","107",TRUE
"004","sumtwo","5, 9, 14, 23, 37, 60, ","Sum the last two numbers",18.143,"97","97",TRUE
"005","sumtwo","7, 10, 17, 27, 44, 71, ","Sum the last two numbers",50.993,"115","78",FALSE
"005","sumtwo","6, 18, 24, 42, 66, 108, ","Sum the last two numbers",85.251,"174","174",TRUE
"005","sumtwo","3, 16, 19, 35, 54, 89, ","Sum the last two numbers",40.597,"143","143",TRUE
"005","xkc","1, 11, 21, 31, 41, 51, ","Add 10 to each number",10.486,"61","61",TRUE
"005","sumtwo","1, 18, 19, 37, 56, 93, ","Sum the last two numbers",21.72,"149","149",TRUE
"005","sumtwo","9, 20, 29, 49, 78, 127, ","Sum the last two numbers",16.295,"205","205",TRUE
"005","sumtwo","1, 11, 12, 23, 35, 58, ","Sum the last two numbers",13.078,"93","93",TRUE
"005","sumtwo","3, 20, 23, 43, 66, 109, ","Sum the last two numbers",17.983,"175","175",TRUE
"005","sumtwo","1, 9, 10, 19, 29, 48, ","Sum the last two numbers",11.75,"77","77",TRUE
"005","sumtwo","8, 11, 19, 30, 49, 79, ","Sum the last two numbers",11.983,"128","128",TRUE
"005","sumtwo","10, 12, 22, 34, 56, 90, ","Sum the last two numbers",12.198,"146","146",TRUE
"005","sumtwo","5, 16, 21, 37, 58, 95, ","Sum the last two numbers",14.383,"153","153",TRUE
"005","sumtwo","6, 15, 21, 36, 57, 93, ","Sum the last two numbers",14.447,"150","150",TRUE
"005","sumtwo","16, 19, 35, 54, 89, 143, ","Sum the last two numbers",17.304,"232","232",TRUE
"005","sumtwo","1, 5, 6, 11, 17, 28, ","Sum the last two numbers",11.672,"45","45",TRUE
"005","xkc","4, 13, 22, 31, 40, 49, ","Add 9 to each number",29.598,"58","58",TRUE
"005","sumtwo","10, 19, 29, 48, 77, 125, ","Sum the last two numbers",22.047,"202","202",TRUE
"005","xkc","8, 10, 12, 14, 16, 18, ","Add 2 to each number",4.831,"20","20",TRUE
"005","sumtwo","3, 5, 8, 13, 21, 34, ","Sum the last two numbers",7.655,"55","37",FALSE
"005","sumtwo","14, 20, 34, 54, 88, 142, ","Sum the last two numbers",13.871,"230","230",TRUE
"005","xkc","9, 14, 19, 24, 29, 34, ","Add 5 to each number",39.207,"39","39",TRUE
"005","sumtwo","4, 5, 9, 14, 23, 37, ","Sum the last two numbers",23.807,"60","60",TRUE
"005","sumtwo","4, 19, 23, 42, 65, 107, ","Sum the last two numbers",14.982,"172","172",TRUE
"005","sumtwo","11, 15, 26, 41, 67, 108, ","Sum the last two numbers",13.158,"175","175",TRUE
"005","sumtwo","3, 7, 10, 17, 27, 44, ","Sum the last two numbers",16.742,"71","51",FALSE
"005","xkc","6, 12, 18, 24, 30, 36, ","Add 6 to each number",11.407,"42","42",TRUE
"005","sumtwo","3, 13, 16, 29, 45, 74, ","Sum the last two numbers",12.119,"119","119",TRUE
"005","sumtwo","10, 11, 21, 32, 53, 85, ","Sum the last two numbers",9.263,"138","138",TRUE
"005","sumtwo","1, 17, 18, 35, 53, 88, ","Sum the last two numbers",9.656,"141","141",TRUE
"005","sumtwo","1, 8, 9, 17, 26, 43, ","Sum the last two numbers",10.463,"69","69",TRUE
"005","sumtwo","6, 13, 19, 32, 51, 83, ","Sum the last two numbers",12.832,"134","134",TRUE
"005","sumtwo","4, 14, 18, 32, 50, 82, ","Sum the last two numbers",9.846,"132","132",TRUE
"005","xkc","9, 15, 21, 27, 33, 39, ","Add 6 to each number",12.814,"45","45",TRUE
"005","sumtwo","1, 20, 21, 41, 62, 103, ","Sum the last two numbers",10.791,"165","165",TRUE
"005","sumtwo","10, 14, 24, 38, 62, 100, ","Sum the last two numbers",7.545,"162","162",TRUE
"005","sumtwo","8, 18, 26, 44, 70, 114, ","Sum the last two numbers",25.092,"184","184",TRUE
"005","sumtwo","12, 19, 31, 50, 81, 131, ","Sum the last two numbers",12.031,"212","212",TRUE
"005","sumtwo","5, 8, 13, 21, 34, 55, ","Sum the last two numbers",7.279,"89","89",TRUE
"005","sumtwo","1, 3, 4, 7, 11, 18, ","Sum the last two numbers",5.111,"29","29",TRUE
"005","sumtwo","6, 12, 18, 30, 48, 78, ","Sum the last two numbers",11.127,"126","126",TRUE
"005","sumtwo","1, 6, 7, 13, 20, 33, ","Sum the last two numbers",4.199,"53","53",TRUE
"005","sumtwo","6, 6, 12, 18, 30, 48, ","Sum the last two numbers",14.183,"78","78",TRUE
"005","sumtwo","7, 17, 24, 41, 65, 106, ","Sum the last two numbers",13.231,"171","181",FALSE
"005","sumtwo","13, 15, 28, 43, 71, 114, ","Sum the last two numbers",11.622,"185","185",TRUE
"005","sumtwo","15, 16, 31, 47, 78, 125, ","Sum the last two numbers",11.855,"203","203",TRUE
"005","sumtwo","16, 18, 34, 52, 86, 138, ","Sum the last two numbers",11.416,"224","224",TRUE
"005","sumtwo","11, 19, 30, 49, 79, 128, ","Sum the last two numbers",10.965,"207","207",TRUE
"005","sumtwo","3, 20, 23, 43, 66, 109, ","Sum the last two numbers",7.815,"175","175",TRUE
"005","sumtwo","9, 16, 25, 41, 66, 107, ","Sum the last two numbers",9.87,"173","173",TRUE
"005","sumtwo","7, 18, 25, 43, 68, 111, ","Sum the last two numbers",10.406,"179","179",TRUE
